Date,Open,High,Low,Close,Adj Close,Volume
2019-03-15,98.279999,98.510002,97.599998,98.419998,98.419998,14600000
2019-03-18,98.300003,99.769997,98.260002,99.660004,99.660004,5770100
2019-03-19,99.989998,100.489998,99.570000,99.849998,99.849998,5414400
2019-03-20,99.199997,99.550003,98.540001,98.639999,98.639999,6323100
2019-03-21,98.250000,99.129997,98.099998,99.059998,99.059998,6551000
2019-03-22,98.580002,99.529999,97.940002,98.279999,98.279999,6708100
2019-03-25,97.800003,98.620003,97.629997,98.169998,98.169998,5407400
2019-03-26,98.360001,98.849998,98.029999,98.320000,98.320000,4945900
2019-03-27,98.139999,98.860001,95.000000,97.209999,97.209999,8471200
2019-03-28,97.589996,97.870003,96.529999,97.129997,97.129997,8054300
2019-03-29,97.589996,97.669998,97.040001,97.529999,97.529999,7439900
2019-04-01,97.970001,98.360001,97.559998,97.820000,97.820000,8505800
2019-04-02,97.760002,98.309998,96.900002,96.940002,96.940002,6274000
2019-04-03,97.120003,97.400002,96.790001,97.190002,97.190002,5687500
2019-04-04,97.250000,98.279999,97.239998,98.110001,98.110001,4026300
2019-04-05,98.250000,99.199997,98.160004,98.830002,98.830002,4656000
2019-04-08,98.449997,99.250000,98.260002,99.230003,99.230003,5422400
2019-04-09,98.800003,99.230003,98.150002,98.690002,98.690002,4367500
2019-04-10,98.510002,99.720001,98.500000,99.599998,99.599998,4091100
2019-04-11,99.699997,100.830002,99.470001,100.800003,100.800003,5606900
2019-04-12,101.000000,102.019997,101.000000,101.559998,101.559998,5161000
2019-04-15,101.300003,102.910004,101.260002,102.430000,102.430000,4936719
