Date,Open,High,Low,Close,Adj Close,Volume
2019-03-15,234.169998,235.649994,233.179993,233.600006,233.600006,5075400
2019-03-18,233.580002,236.679993,233.490005,236.589996,236.589996,1735400
2019-03-19,237.520004,238.050003,236.289993,237.050003,237.050003,1852300
2019-03-20,237.029999,238.490005,235.779999,236.979996,236.979996,1499500
2019-03-21,236.679993,239.850006,236.550003,239.539993,239.539993,1617000
2019-03-22,239.750000,240.339996,236.899994,237.559998,237.559998,1873600
2019-03-25,236.929993,238.080002,235.789993,236.970001,236.970001,1357100
2019-03-26,238.000000,240.250000,237.360001,239.070007,239.070007,1193000
2019-03-27,238.710007,240.210007,238.160004,239.410004,239.410004,1351200
2019-03-28,239.979996,241.949997,239.580002,241.220001,241.220001,1396700
2019-03-29,241.660004,242.440002,240.770004,242.139999,242.139999,1968000
2019-04-01,243.070007,244.410004,242.580002,244.190002,244.190002,1610200
2019-04-02,244.000000,244.190002,240.309998,240.500000,240.500000,1574300
2019-04-03,241.690002,243.550003,241.020004,242.479996,242.479996,1663600
2019-04-04,242.169998,244.759995,241.250000,244.399994,244.399994,1319700
2019-04-05,244.960007,247.089996,244.009995,245.869995,245.869995,1616200
2019-04-08,245.990005,246.830002,245.199997,246.520004,246.520004,1244200
2019-04-09,245.110001,245.679993,244.009995,244.910004,244.910004,1450200
2019-04-10,245.279999,246.669998,244.710007,245.610001,245.610001,1556600
2019-04-11,243.619995,244.179993,240.919998,241.240005,241.240005,2719800
2019-04-12,241.509995,242.720001,240.899994,241.949997,241.949997,2085000
2019-04-15,242.369995,246.750000,241.960007,246.330002,246.330002,1660826
